ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y
APDN,2.53,41.13,82.83,42.16,Health Care,11528624.8,0.872298885
ARRY,66.31,13.88,53.14,44.44,Industrials,1082750985,2.34920406
CGNX,86.78,8.59,30.85,42.07,Information Technology,11654238623,1.272300748
CLSN,1.11,54.03,48.23,34.46,Health Care,21793285.3,1.09516026
CMLS,44.28,69.25,40.17,51.23,Communication Services,282363059.7,0.57730449
CCEP,75.38,100,59.02,78.13,Consumer,22674881090,1.242784438
ATVI,84.65,96.66,42.25,74.52,Communication Services,61031118343,0.206752332
CIDM,45.95,43.29,1.06,30.1,Communication Services,126624247.5,1.741592351
BMRN,81.1,94.43,49.09,74.87,Health Care,15411962442,0.821079881
CNSL,66.92,93.03,43.31,67.76,Communication Services,669179662.9,0.857566835
CBIO,5.57,5.17,41.03,17.26,Health Care,14860316.72,0.549925058
BYSI,0.61,30.98,28.06,19.88,Health Care,65789878.18,1.887673277
ASND,83.54,77.91,4.71,55.39,Health Care,5184175946,0.869137992
CALM,39.77,19.58,9.47,22.94,Consumer,2635434240,0.15070083
CORT,33.74,30.98,44.07,36.26,Health Care,2342806238,0.753648707
CHMG,26.04,63.8,97.06,62.3,Financials,220847728.5,0.118655004
BLCM,4.86,54.03,16.41,25.1,Health Care,12742298.28,0.845962681
BSET,51.67,79.58,73,68.09,Consumer,164605241.3,1.169535889
AMSF,65.91,54.03,81.31,67.08,Financials,909412263.5,0.67863459
CDXC,21.12,30.98,31.31,27.8,Health Care,135985826.1,1.561767124
BPOP,74.37,54.03,97.47,75.29,Financials,6096820458,1.09504713
CDEV,93.47,75.58,14.69,61.25,Utilities,2241704948,1.276113291
CLBS,13.27,30.98,44.22,29.49,Health Care,31598259.41,0.648054693
CASS,46.4,8.59,31.56,28.85,Information Technology,507879320.5,0.542008168
AGLE,14.64,30.98,25.38,23.67,Health Care,75118206.96,0.633396837
CMPR,56.23,97.8,47.42,67.15,Industrials,1365856136,1.107842456
BVXV,9.78,5.17,41.03,18.66,Health Care,15895087.6,1.518740709
CFFI,51.57,2.08,94.63,49.43,Financials,181946491.4,0.208700934
CLVS,49.85,54.03,89.87,64.58,Health Care,292074654.2,1.729650241
COKE,37.49,81.03,36.02,51.51,Consumer,4206817886,0.785356355
CSCO,99.04,95.57,74.21,89.61,Information Technology,2.07127E+11,0.84476237
CIGI,68.95,2.08,46.5,39.18,Financials,4644917626,0.987484882
CENTA,41.82,54.03,42.58,46.14,Consumer,2308787879,0.754781031
CRSP,38.15,30.98,4.26,24.46,Health Care,4023442455,1.454972663
CPSH,46.91,19.58,3.65,23.38,Information Technology,52113346.24,1.736963224
CBNK,32.22,30.98,58.36,40.52,Financials,312782340,0.67044776
CSTR,29.64,54.03,82.17,55.28,Financials,452091518.8,0.602627304
CRESY,48.28,2.08,10.84,20.4,Financials,432226497.4,1.032107013
CCLP,20.31,15.02,14.39,16.57,Utilities,192050963.8,0.334853455
CGRN,92,30.98,33.33,52.1,Industrials,44270593.8,1.580107705
CNTY,33.99,71.48,8,37.83,Consumer,321395426.7,1.321543742
CHNG,43.21,5.17,35.03,27.8,Health Care,7340395882,0.266220313
COST,43.52,12.01,57.24,37.59,Consumer,2.34443E+11,0.78445795
BLDE,5.07,13.88,17.78,12.24,Industrials,604313275.1,1.143303313
BZUN,88.3,43.95,6.38,46.21,Consumer,546255117.2,1.617066947
CTIC,11.04,16.13,25.13,17.43,Health Care,539452038.5,0.807536454
CAMP,63.63,54.03,47.72,55.12,Information Technology,207336076,0.874751155
BNFT,79.84,30.98,6.48,39.1,Information Technology,362651040.2,0.884219827
CDXS,57.7,54.03,24.72,45.48,Health Care,828708521.4,1.99283118
BPRN,23.91,38.93,54.61,39.15,Financials,189452160,0.242383199
CLDX,4.36,22.87,78.32,35.18,Health Care,1452190049,1.62950327
AMSWA,63.37,54.03,44.43,53.94,Information Technology,570480050,1.189144163
CDK,82.32,93.03,51.27,75.54,Information Technology,6344968235,0.567395823
CSCW,4.61,8.59,50.96,21.39,Information Technology,27142191.99,2.011648775
CNXC,69.05,8.59,45.67,41.1,Information Technology,8153702180,1.070536674
AUB,40.27,30.98,73.25,48.17,Financials,2596830403,0.887552716
BSGM,0.86,30.98,9.78,13.87,Health Care,29586525.43,1.322286453
CMRX,2.58,30.98,19,17.52,Health Care,410950046,1.488732425
CBRL,88.55,54.03,96.05,79.54,Consumer,2713475121,1.171356498
BWB,72.54,30.98,82.57,62.03,Financials,443725791,0.560238813
CASY,93.72,83.84,70.62,82.73,Consumer,7489093839,0.753319814
CINF,85.26,2.08,96.56,61.3,Financials,19362896075,0.814221821
CUE,14.13,54.03,59.52,42.56,Health Care,145025995.4,1.154095912
CLXT,57.6,54.03,65.75,59.13,Health Care,21478171.46,1.150787118
CFFN,35.16,30.98,93.41,53.18,Financials,1341258967,0.436701037
CSWC,19.1,63.8,18.59,33.83,Financials,539285345.6,0.630148476
CCMP,92.45,83.84,95.9,90.73,Information Technology,5171978030,1.146587679
CPSI,73.3,54.03,29.33,52.22,Health Care,477700312.9,0.458063194
COUP,94.53,95.57,15.91,68.67,Information Technology,6715862250,1.570159213
